Reference,Article,Categorie,Conditionnement,Stocker_ici_ON,Conso_Hebdo_Estimee,Niveau_Min,Niveau_Cible,Commentaire
INV-001333,PIMENT CONSTANTINE (MARKADE )B/2Kg,Restaurant / Alimentations,B/2Kg,O,,,,
INV-001313,Pate Rossort Sim C/10,Restaurant / Alimentations,C/10,O,,,,
INV-001312,Petit Coude N°4 sim C/10,Restaurant / Alimentations,C/10,O,,,,
INV-001382,Pistachio 1Kg,Restaurant / Alimentations,,O,,,,
INV-001370,Pois Chiche N° 12 1Kg LA BELLE C/10,Restaurant / Alimentations,C/10,O,,,,
INV-001424,RAIB CANDIA 1L,Restaurant / Alimentations,,O,,,,
INV-001373,Raisin Sec 1kg,Restaurant / Alimentations,,O,,,,
INV-001371,Riz basmatti SAC 10Kg,Restaurant / Alimentations,,O,,,,
INV-001338,SALAMI VIANDE 1/KG,Restaurant / Alimentations,,O,,,,
INV-001384,SEL de cuisine ENASEL F/15,Restaurant / Alimentations,F/15,O,,,,
INV-001352,Sauce PIZZA B4KG latina,Restaurant / Alimentations,,O,,,,
INV-001367,Semoule Fine Sim 10 Kg,Restaurant / Alimentations,,O,,,,
INV-001359,"Smane MORDJANE C/1,8 Kg C/4",Restaurant / Alimentations,C/1,O,,,,
INV-001361,Sucre Roux Skor 1Kg F/10,Restaurant / Alimentations,F/10,O,,,,
INV-001360,Sucre Skor 1Kg F/10,Restaurant / Alimentations,F/10,O,,,,
INV-001362,Sucre Skor Glace MORDJANE 1 Kg F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001363,Sucre Stick 8g BONAL B/200ps,Restaurant / Alimentations,B/200ps,O,,,,
INV-001392,THE EL RAKKI 125g F/8,Restaurant / Alimentations,F/8,O,,,,
INV-001316,Tagliatelle 450 g C/10,Restaurant / Alimentations,C/10,O,,,,
INV-001342,Thon Francisco 400gr C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001343,"Thon Marinara 1,8kg C/6",Restaurant / Alimentations,C/6,O,,,,
INV-001341,Thon le Grand bleu 2kg C/6,Restaurant / Alimentations,C/6,O,,,,
INV-001344,Tomate Hara 800g C/12,Restaurant / Alimentations,C/12,O,,,,
INV-001314,Vermicelle Sim/500g C/20,Restaurant / Alimentations,C/20,O,,,,
INV-001386,Vinaigre Blanc Casbah F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001385,Vinaigre Rouge Casbah F/12,Restaurant / Alimentations,F/12,O,,,,
INV-001319,cafe 1001 F/20,Restaurant / Alimentations,F/20,O,,,,
INV-001318,cafe caps B/10 F/20,Restaurant / Alimentations,B/10 F,O,,,,
INV-001388,levure Boulengerie SAF PLUS 500gr c/20,Restaurant / Alimentations,c/20,O,,,,
INV-001330,olive noire 2kg f/3boites,Restaurant / Alimentations,f/3boites,O,,,,
INV-001329,olive noire tranche b/2kg F/3,Restaurant / Alimentations,b/2kg,O,,,,
INV-001311,spaghitti sim 500g C/10KG,Restaurant / Alimentations,C/10KG,O,,,,
INV-001391,the EL FERDOUAS,Restaurant / Alimentations,,O,,,,
INV-001441,Blanc De Poulet,Restaurant / Viandes,,O,,,,
INV-001442,Cuisse De Poulet,Restaurant / Viandes,,O,,,,
INV-001444,Escalope De Dinde,Restaurant / Viandes,,O,,,,
INV-001443,Escalope De Poulet,Restaurant / Viandes,,O,,,,
INV-001440,poulet,Restaurant / Viandes,,O,,,,
INV-001404,Ail en Poudre 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001411,Anis Etoile 1kg,Restaurant / Épices,,O,,,,
INV-001397,Cannelle Batonnes 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001396,Cannelle En Poudre 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001409,Carvi 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001410,Clou de Girofle,Restaurant / Épices,,O,,,,
INV-001399,Cumin 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001406,Curcumin 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001408,Curry 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001415,Epice Chawarma 1kg,Restaurant / Épices,,O,,,,
INV-001414,Epice marinee poulet 1kg,Restaurant / Épices,,O,,,,
INV-001401,Gingembre En Poudre 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001412,Graine de Noire 1kg sanoudj,Restaurant / Épices,,O,,,,
INV-001402,Graine de Sesame 1kg EL FARES,Restaurant / Épices,,O,,,,
INV-001416,KOSBER 1kg,Restaurant / Épices,,O,,,,
INV-001400,Piment Doux 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001395,Poivre Blanc 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001394,Poivre Noire En Poudre 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001405,Ras El Hanout 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001403,Thym en Poudre 1KG EL FARES,Restaurant / Épices,,O,,,,
INV-001398,Zafron 1KG En poudre EL FARES,Restaurant / Épices,,O,,,,
INV-001417,epice fromage b/1kg,Restaurant / Épices,b/1kg,O,,,,
INV-001413,oigon en Poudre 1kg,Restaurant / Épices,,O,,,,
INV-001407,piment piquant 1KG EL FARES,Restaurant / Épices,,O,,,,
