N,Section,Designation
125,Produit laitier,Fromage Sliece C/28 cheezy
126,Produit laitier,"Fromage Fondu MONT DOR 1,8KG"
127,Produit laitier,"Fromage Fondu MONT DOR 3,6KG"
128,Produit laitier,Fromage RICOS 1KG
129,Produit laitier,Fromage Cook Cheese 1KG
130,Produit laitier,Camembert Zakkar 250 G
131,Produit laitier,Camembert Zakkar 350 G
132,Produit laitier,Camembert Zakkar 120 G
133,Produit laitier,Mascarpone 500G SO TACOS F/8
134,Poulet,poulet
135,Poulet,Blanc De Poulet
136,Poulet,Cuisse De Poulet
137,Poulet,Escalope De Poulet
138,Poulet,Escalope De Dinde
139,Poulet,Ouefs
140,Boissons,JUS BIFA 125ML F/48
141,Boissons,CANDIA CHOCOLAT 20CL F/18
142,Boissons,jus rouiba 20cl f/30
143,Boissons,Schweppes PET 33CL F/12
144,Boissons,Schweppes Canette 14 CL F/24
145,Boissons,Hamoud Canette 24CL F/24
146,Boissons,Hamoud PET 33 CL F/12
147,Boissons,JUS TCHINA 2L F/6
148,Boissons,Jus Waniss 1L F/6
149,Boissons,JUS IFRUIT 33CL F/12
150,Boissons,NGAOUAS 33CL F/12
151,Boissons,ORANGINA 33CL F/12
152,Boissons,"Eau GUIDILA 0,5L F/12"
153,Boissons,"Eau GUIDILA 1,5L F/6"
154,Boissons,Eau NEW 1L /6 LLK
155,Boissons,"Eau Lala Khedidja 1,5 L /6"
156,Boissons,"Eau Lala Khedidja 0,5 CL F/12"
157,Boissons,"IFRI VICHY 0,33CL F/12"
158,Boissons,"IFRI VICHY CITRON 0,33CL F/13"
159,Gateaux et chocolat,Beurre 100% 10g C/480 PS dosette
160,Gateaux et chocolat,Beurre Melenege 10g C/480 dosette
161,Gateaux et chocolat,Confiture 20g fraise/pomme/abricot dosette
162,Gateaux et chocolat,Succedane Miel 20g C/480ps dosettte
163,Gateaux et chocolat,Chocolat 10g C/480ps dosette
164,Gateaux et chocolat,Sucre STick 8g C/10kg
165,Gateaux et chocolat,Madelaine Foureé 6u c/120ps
166,Gateaux et chocolat,Roule Foureé c/36
167,Gateaux et chocolat,CACAO MARON En Pondre 1Kg
168,Gateaux et chocolat,GELATINE EN POUDRE
169,Gateaux et chocolat,colorant Fructa 20g
170,Gateaux et chocolat,la vanille liquide 1L
171,Gateaux et chocolat,LA VANILLE EN POUDRE LA BOREF 500g C/12
172,Gateaux et chocolat,PATE AROME PISTACHE F/6
173,Gateaux et chocolat,CHANTILLY SAC 5KG RACIM
174,Gateaux et chocolat,CHANTILLY SEAU 3KG RACIM
175,Gateaux et chocolat,"cerise confite seau 1,8kg"
176,Gateaux et chocolat,colorant alimentaire 1kg
177,Gateaux et chocolat,Lait en poudre en poudre lovly 0% sac10kg
178,Gateaux et chocolat,Amidon de mais sac 1kg
179,Gateaux et chocolat,fourrage décoration 450g TOPY CITRON/FRAISE F/12
180,Gateaux et chocolat,fourrage décoration 450g TOPY CERICE /MURE F/12
181,Gateaux et chocolat,creme de pistache 2Kg TOPY
182,Gateaux et chocolat,Caramel Toffee 3Kg TOPY
183,Gateaux et chocolat,FAUX PISTACHE 2Kg
184,Gateaux et chocolat,Beurre de Cacahuete Racim
185,Gateaux et chocolat,La Feuilletine 1kg
186,Gateaux et chocolat,FLAN NOUARA F/24
187,Gateaux et chocolat,chocolat noir Embassadeur c/25
188,Gateaux et chocolat,chocolat blanc Embassadeur c/25
189,Gateaux et chocolat,chocolat noisette DADA 240g
190,Gateaux et chocolat,chocolat au lait DADA 240g
191,Gateaux et chocolat,chocolat noir DADA 240g
192,Gateaux et chocolat,chocolat blanc DADA 240g
