N,Section,Designation
1,Cotex bon de livraison,Essuie Mains Enchevêtré 3001F004 Cotex Pro
2,Cotex bon de livraison,Essuie main 3003R001 Cotex Pro
3,Cotex bon de livraison,Papier Hygiénique 5001R004 Cotex Pro
4,Cotex bon de livraison,Serviette de Table Cotex Delux
5,Cotex facture,COTEX PRO ESSUIE MAINS ENCHEVETRE 3001F004
6,Cotex facture,COTEX PRO PH 5001R004
7,Cotex facture,COTEX PRO ESSUIE-MAIN 3003R001
8,Cotex facture,COTEX SERVIETTE ORIGINAL*80
