Designation,Code_Barres
Chips Silver Creme Oignon PM,6135199001324
Chips Silver Creme Oinon MM,6135199000549
Chips Silver Fromage GM,6135199000402
Chips Silver Fromage PM,6135199001300
Chips Silver Ghili Lime PM,6135199001270
Chips Silver Ketchup GM,6135199001232
Chips Silver Ketchup MM,6135199001256
Chips Silver Ketchup PM,6135199001249
Chips Silver Nature Salé GM,6135199000297
Chips Silver Nature Salé PM,6135199000631
Chips Silver Pizza MM,6135199000723
Chips Silver Sauce Algerienne MM,6135199001294
Chips Sultan French Cheese,6134447000089
Chips Sultan Masala,6134447000690
Chips Sultan Onion,6134447000355
Chips Sultan Sweet Chilli,6134447000898
Chips Sultan Tacos,6134447000645
Chips Tassala Crisp Taxi,6135206002726
Chips Taxi GM,6135206000869
Chips Vag d'or Barbecue GM,6132503580032
Chips Vag d'or Fromage PM,6132503580148
Chips Vag d'or Ketchup GM,6132503580063
Chips Vag d'or Poulet Fumé GM,6132503580070
Chips Vag d'or Poulet Fumé PM,
Chips Vag d'or Poulet PM,6132503580162
Chips Vag d'or Salé GM,6132503580025
Chips Vag d'or Salé PM,6132503580018
Chips Vag d'or Tomate PM,6132503580322
Chiwawa (?????),
Chiwawa Balls,6134067002074
Chococlat Celebrity Mini Bare,6132175400799
Chococlat Celebrity Twin,6132175403677
Chocolat Ambassadeur Blanc Tablette,6130014080010
Chocolat Ambassadeur Fourré Tablette,6130014350069
Chocolat Ambassadeur Noir Tablette,6130014080119
Chocolat Amine,
Chocolat Bara Kids Cereal,6132659100016
Chocolat Bara Kids Rice,6132659100023
Chocolat Barre Elite Amandes Blanche,6132374000103
Chocolat Barre Elite Cacahuete,6132374000073
Chocolat Barre Elite Cereal,6132374000172
Chocolat Barre Elite Cereale Noire,6132374000165
Chocolat Barre Elite Noisette,6132374000097
Chocolat Barre Elite Noix De Coco,6132374000059
Chocolat Bibila Donuts,6134387000170
Chocolat Bounty Barre,
Chocolat Brownie,6132501541608
Chocolat Browniz,6134426000123
Chocolat Bueno Joker Bare,6135197001616
Chocolat Celebrity Barre,6132501547112
Chocolat Cocoaty Sport,6135275002108
Chocolat Cot d'or Baton,
Chocolat Cote D'or Barre,
Chocolat Cote Dor Tablette,7622210995063
Chocolat Crunch,8000300300390
Chocolat Galaxy Caramel,5900951313103
Chocolat Galaxy Smouth Caramel Tablette,5900951027710
Chocolat Galaxy Smouth Milk Tablette,5000159553018
Chocolat Grandina Bare,6132175401918
Chocolat Granola,6132428200015
Chocolat Granola Energy,6133172000135
Chocolat Happy Bare Choco,6133414008837
Chocolat Happy Chocolat,6133414006932
Chocolat Happy White,6133414008219
Chocolat Kinder Bueno,8000500037560
Chocolat Kinder Bueno White,8076161
Chocolat Kinder Country,
Chocolat Kinder Maxi,
Chocolat Kit Kat,
Chocolat Kit Kat Chocolat Blanche,8445290552150
Chocolat Kit Kat Chocolat Noir,
Chocolat Kit Kat Chocolat au Lait,
Chocolat Kit Kat Chunky,3800020456224
Chocolat Kool Cracks,6133414008264
Chocolat Kool Crokin,6133414008653
Chocolat Krispino Bare,6132175401819
Chocolat Lindt Créme tablette,3046920042567
Chocolat Lindt Lindor Tablette,3046920042963
Chocolat Lindt Noir Tablette,3046920042932
Chocolat Lindt Pistachio Tablette,30469200201383
Chocolat Lion Bare,
Chocolat Liya Banane,6134067003200
Chocolat Liya Cerise,6134067000506
Chocolat Liya Pomme,613406700250
Chocolat M&m's,5000159477598
Chocolat M&n,6132256700114
Chocolat Magma Feuilletine Barre,6133414012209
Chocolat Magma Oreo Barre,6133414012216
Chocolat Magma Tablette Caramel,6133414012148
Chocolat Magma Tablette Lait,6133414012384
Chocolat Magma Tablette Noisete,6133414012155
Chocolat Magma Tablette Oreo,6133414012179
Chocolat Magma Tablette Praline,613414012155
Chocolat Mars Barre,
Chocolat Maruja,6132516860060
Chocolat Maxon 100g Noisete,6133414000794
Chocolat Maxon Gold Lait,6133414011684
Chocolat Maxon Gold Oreo,6133414011677
Chocolat Mini Cones,6132521470018
Chocolat Mini Cones Pistache,6132521470087
Chocolat Mini Cornes Mouta,6132604700025
Chocolat Mini Cornes Noisette,6132521470032
Chocolat Moment Bare Caraibes,6133414015408
Chocolat Moment Bare djazair,6133414015415
