Nom_Complet,Masque
Olive Dénoyautée (زيتون بدون نواة),Olive Dénoyautée (????? ???? ????)
Olive Noir (زيتون أسود ),Olive Noir (????? ???? )
Olive Vert (زيتون أخضر),Olive Vert (????? ????)
Olive Violet (زيتون بنفسجي),Olive Violet (????? ??????)
Orange (برتقال),Orange (??????)
Pain (خبز),Pain (???)
Pain de Mei (خبز اللب),Pain de Mei (??? ????)
Papier Aluminium (ورق المنيوم),Papier Aluminium (??? ???????)
Papier cuisson (ورق الطهي),Papier cuisson (??? ?????)
Pastèque (دلاع),Pastèque (????)
Persil (حشيش),Persil (????)
Persil (معدنوس),Persil (??????)
Petits Pois Surgelés (بازلاء مجمدة),Petits Pois Surgelés (?????? ?????)
Poire (اجاص),Poire (????)
Pois chiche (حمص),Pois chiche (???)
Poivre Blanc (فلفل أبيض ),Poivre Blanc (???? ???? )
Poivre Noire (فلفل أسود),Poivre Noire (???? ????)
Poivre Rouge (فلفل أحمر ),Poivre Rouge (???? ???? )
Poivron (فلفل حلو),Poivron (???? ???)
Poivron Mariné (فلفل مرقد),Poivron Mariné (???? ????)
Poivron Piquant (فلفل حار),Poivron Piquant (???? ???)
Pomme (تفاح),Pomme (????)
Pomme de terre (بطاطا),Pomme de terre (?????)
Poulet Hashée (دجاج مرحي),Poulet Hashée (???? ????)
Poulet Mariné (دجاج مريني),Poulet Mariné (???? ?????)
Pêche (خوخ),Pêche (???)
Rachta (رشتة),Rachta (????)
Raisin (عنب),Raisin (???)
Riz (أرز),Riz (???)
Riz Basmati (أرز بسمتي),Riz Basmati (??? ?????)
Roti Poulet (روتي دجاج),Roti Poulet (???? ????)
Sardine (السردين),Sardine (???????)
Sauce Pizza (صلصة بيتزا),Sauce Pizza (???? ?????)
Sel (ملح),Sel (???)
Semoul (سميد),Semoul (????)
Smen (سمن),Smen (???)
Spaghetti (سباقيتي),Spaghetti (???????)
Sucre (سكر),Sucre (???)
Tagliatelle (تاقليتال),Tagliatelle (????????)
Thon (طون),Thon (???)
Thon Ricamar (تونة ريكامار),Thon Ricamar (???? ???????)
Thé (شاي),Thé (???)
Tlitli (تليتلي),Tlitli (??????)
Tomate (طماطم),Tomate (?????)
Tomate Concentrée (طماطم مصبرة),Tomate Concentrée (????? ?????)
Vadrouille (ممسحة الأرض),Vadrouille (????? ?????)
Vermicelle (الشعيرية),Vermicelle (????????)
Viande Boeuf (لحم البقر),Viande Boeuf (??? ?????)
Viande Mouton (لحم الخروف),Viande Mouton (??? ??????)
Viande Steak (شرائح اللحم),Viande Steak (????? ?????)
Viande hachée (لحم مرحي),Viande hachée (??? ????)
Vinaigre (خل),Vinaigre (??)
Vitale Infussion Thé Camomille (البابونج),Vitale Infussion Thé Camomille (????????)
Vitale Infussion Thé Poliot (فيلو النعناع),Vitale Infussion Thé Poliot (???? ???????)
Vitale Infussion Thé Thym (الزعتر),Vitale Infussion Thé Thym (??????)
Vitale Infussion Thé au Caramel (الكراميل),Vitale Infussion Thé au Caramel (????????)
Vitale Infussion Thé au Fruits des Bois (الفواكه الغابية),Vitale Infussion Thé au Fruits des Bois (??????? ???????)
Yaourt Nature (ياغورت طبيعي),Yaourt Nature (?????? ?????)
Épinard (سبانخ),Épinard (?????)
حلويات,??????
حليب / قهوة / شكولاتة,???? / ???? / ???????
حليب / قهوة / شكولاتة A,???? / ???? / ??????? A
حليب / قهوة / شكولاتة B,???? / ???? / ??????? B
حليب / قهوة / شكولاتة C,???? / ???? / ??????? C
ساندويتش,????????
شاي / تيزانة,??? / ??????
شاي / تيزانة A,??? / ?????? A
شاي / تيزانة B,??? / ?????? B
شاي / تيزانة C,??? / ?????? C
عصير,????
فواكه,?????
مملحات,??????
